,Time (CET),Attribute,Value,datetime,Year,Month,Day,s,sH,T,p,c,Cl,w,tS,E',P,U
0,1,2020-02-09,0.0,2020-02-09 01:00:00,2020,2,9,0,10,5.1,0.0,0,0,0,0,0,0,0.0
1,2,2020-02-09,0.0,2020-02-09 02:00:00,2020,2,9,0,10,5.1,0.0,0,0,0,0,0,0,0.0
2,3,2020-02-09,0.0,2020-02-09 03:00:00,2020,2,9,0,10,6.9,0.0,70,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,757.0,53.0
3,4,2020-02-09,1185.03,2020-02-09 04:00:00,2020,2,9,0,10,6.9,0.0,70,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,757.0,53.0
4,5,2020-02-09,7505.1900000000005,2020-02-09 05:00:00,2020,2,9,1,10,6.9,0.0,70,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,757.0,53.0
5,6,2020-02-09,12706.155,2020-02-09 06:00:00,2020,2,9,1,10,11.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,1.0,"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.",756.4,45.0
6,7,2020-02-09,22840.745,2020-02-09 07:00:00,2020,2,9,1,10,11.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,1.0,"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.",756.4,45.0
7,8,2020-02-09,30876.615,2020-02-09 08:00:00,2020,2,9,1,10,11.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,1.0,"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.",756.4,45.0
8,9,2020-02-09,30810.780000000002,2020-02-09 09:00:00,2020,2,9,1,10,14.2,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.9,32.0
9,10,2020-02-09,34431.705,2020-02-09 10:00:00,2020,2,9,1,10,14.2,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.9,32.0
10,11,2020-02-09,38974.32,2020-02-09 11:00:00,2020,2,9,1,10,14.2,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.9,32.0
11,12,2020-02-09,16985.43,2020-02-09 12:00:00,2020,2,9,1,10,9.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,752.5,38.0
12,13,2020-02-09,3818.4300000000003,2020-02-09 13:00:00,2020,2,9,1,10,9.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,752.5,38.0
13,14,2020-02-09,65.83500000000001,2020-02-09 14:00:00,2020,2,9,1,10,9.3,0.0,70,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,752.5,38.0
14,15,2020-02-09,0.0,2020-02-09 15:00:00,2020,2,9,0,10,7.3,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.0,48.0
15,16,2020-02-09,0.0,2020-02-09 16:00:00,2020,2,9,0,10,7.3,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.0,48.0
16,17,2020-02-09,0.0,2020-02-09 17:00:00,2020,2,9,0,10,7.3,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,754.0,48.0
17,18,2020-02-09,0.0,2020-02-09 18:00:00,2020,2,9,0,10,0.2,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,756.5,71.0
18,19,2020-02-09,0.0,2020-02-09 19:00:00,2020,2,9,0,10,0.2,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,756.5,71.0
19,20,2020-02-09,0.0,2020-02-09 20:00:00,2020,2,9,0,10,0.2,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,756.5,71.0
20,21,2020-02-09,0.0,2020-02-09 21:00:00,2020,2,9,0,10,2.5,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,758.5,68.0
21,22,2020-02-09,0.0,2020-02-09 22:00:00,2020,2,9,0,10,2.5,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,758.5,68.0
22,23,2020-02-09,0.0,2020-02-09 23:00:00,2020,2,9,0,10,2.5,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,758.5,68.0
23,24,2020-02-10,0.0,2020-02-10 00:00:00,2020,2,10,0,10,4.5,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облака покрывали более половины неба в течение всего соответствующего периода.,0,0,761.0,100.0
24,1,2020-02-10,0.0,2020-02-10 01:00:00,2020,2,10,0,10,4.5,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облака покрывали более половины неба в течение всего соответствующего периода.,0,0,761.0,100.0
25,2,2020-02-10,0.0,2020-02-10 02:00:00,2020,2,10,0,10,4.5,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облака покрывали более половины неба в течение всего соответствующего периода.,0,0,761.0,100.0
26,3,2020-02-10,0.0,2020-02-10 03:00:00,2020,2,10,0,10,5.2,2.7,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Дождь.,0,0,761.0,100.0
27,4,2020-02-10,0.0,2020-02-10 04:00:00,2020,2,10,0,10,5.2,2.7,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Дождь.,0,0,761.0,100.0
28,5,2020-02-10,0.0,2020-02-10 05:00:00,2020,2,10,1,10,5.2,2.7,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Дождь.,0,0,761.0,100.0
29,6,2020-02-10,0.0,2020-02-10 06:00:00,2020,2,10,1,10,8.8,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,761.6,100.0
30,7,2020-02-10,0.0,2020-02-10 07:00:00,2020,2,10,1,10,8.8,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,761.6,100.0
31,8,2020-02-10,0.0,2020-02-10 08:00:00,2020,2,10,1,10,8.8,0.0,100,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",0,0,0,761.6,100.0
32,9,2020-02-10,0.0,2020-02-10 09:00:00,2020,2,10,1,10,8.7,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,760.7,100.0
33,10,2020-02-10,0.0,2020-02-10 10:00:00,2020,2,10,1,10,8.7,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,760.7,100.0
34,11,2020-02-10,0.0,2020-02-10 11:00:00,2020,2,10,1,10,8.7,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,760.7,100.0
35,12,2020-02-10,0.0,2020-02-10 12:00:00,2020,2,10,1,10,5.2,0.0,100,"Слоисто-кучевые, образовавшиеся не из кучевых.",0,0,0,759.9,100.0
